,Average Battery Life (in hours),Batteries,Brand,Card Description,Chipset Brand,Color,Computer Memory Type,Flash Memory Size,Graphics Coprocessor,Hard Drive,Hard Drive Interface,Item Dimensions  LxWxH,Item Weight,Item model number,Max Screen Resolution,Memory Speed,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Operating System,Optical Drive Type,Power Source,Processor,Processor Brand,Processor Count,Product Dimensions,RAM,Series,Standing screen display size,Wireless Type,price,rating,Hard Drive Rotational Speed,Hardware Platform,Screen Resolution,Graphics Card Ram Size,Voltage,National Stock Number,Rear Webcam Resolution,Package Dimensions,ASIN,Date First Available,Manufacturer,Manufacturer Part Number,Ruling,Batteries Included?,Batteries Required?,Display Style,Included Components,Is Discontinued By Manufacturer,Item Package Quantity,Part Number,Size,Style,Usage,Warranty Description,Department
1567,10 Hours,1 Lithium ion batteries required. (included),Basrdis,Integrated,AMD,,DDR4 SDRAM,128 GB,AMD,128 GB ssd,Solid State,12.65 x 8.56 x 0.76 inches,3.63 pounds,Basrdis,1920 x 1080 Pixels,3200 MHz,,,"Windows 10 S, Windows 10",,AC & Battery,2.4 GHz amd_r_series,AMD,4,12.65 x 8.56 x 0.76 inches,4 GB DDR4,Lenovo Ideapad,14 Inches,Bluetooth,,4.3,,PC,,,,,,,,,,,,,,,,,,,,,,,
1568,,,Dell,Integrated,Intel,,DDR4 SDRAM,256,,256 GB Flash Memory Solid State,,8.17 x 12.04 x 0.78 inches,2.91 pounds,5310,1920 x 1080 Pixels,,,,Windows 10 Pro,No Optical Drive,,1.7 GHz apple_ci5,Intel,1,8.17 x 12.04 x 0.78 inches,8 GB DDR4,5MD8K,13.3 Inches,Bluetooth,"$1,399.99",5.0,,PC,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,
1569,3 Hours,1 Lithium ion batteries required. (included),Ubrand,,,,DDR3 SDRAM,512 GB,4400,500 GB HDD,ESATA,,7.48 pounds,450 G5,1366×768 Pixels,2.6 GHz,,,Windows 10 Pro,,,2.5 GHz core_i5_7200u,Intel,2,,4 GB DDR3,450 G5,15.6 Inches,Bluetooth,,3.5,,PC,,,,,,16.9 x 16.1 x 3.8 inches,,,,,,,,,,,,,,,,,
1570,12 Hours,,HP,Integrated,Intel,,DDR4 SDRAM,32 GB,Intel UHD Graphics 600,32 GB emmc,ESATA,12.76 x 8.9 x 0.74 inches,3.48 pounds,x360,1366 x 768,2.6 GHz,,,Chrome OS,,Battery Powered,1.1 GHz celeron,Intel,2,12.76 x 8.9 x 0.74 inches,4 GB DDR4,HP Chromebook,14 Inches,"Bluetooth, 802.11b",,3.6,,PC,1366 x 768,,,,,,,,,,,,,,,,,,,,,,
1571,8 Hours,,YITAOERA,Integrated,Intel,黑色,DDR4 SDRAM,,1366 x 768,128 GB SSD,ATA-5,11.5 x 7.87 x 0.59 inches,2.53 pounds,YI-11.6,1366 x 768 Pixels,2.5 GHz,,,"Windows 10 Pro, Windows 10",,Battery Powered,1.5 GHz celeron,Intel,4,11.5 x 7.87 x 0.59 inches,8 GB LPDDR4,YI-11.6,11.6 Inches,"Bluetooth, 802.11a",,3.7,,PC,,,,,,,,,,,,,,,,,,,,,,,
1572,15 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,Intel,Iron Grey,Unknown,,Intel UHD Graphics 620,Flash Memory Solid State,PCIE x 4,12.57 x 7.77 x 0.48 inches,3.36 pounds,81R00004US,1920 x 1080 Pixels,,,,Windows 10,No Optical Drive,Battery Powered,1.8 GHz apple_ci7,Intel,1,12.57 x 7.77 x 0.48 inches,8 GB DDR4,Ideapad S940,14 Inches,"Bluetooth, 801.11ac",$739.00,4.5,7200 RPM,PC,1920 x 1200,,,,,,,,,,,,,,,,,,,,,,
1573,6 Hours,,Smart-US,,Intel,,DDR3 SDRAM,,Z8350,64 GB mechanical_hard_drive,ATA,,2.86 pounds,,,,,,Windows 10,,Battery Powered,1.44 KHz atom_z8350,Intel,4,,2 GB DDR3L,A101,10.1 Inches,Bluetooth,$199.68,3.3,,PC,,,,,,12.24 x 10.51 x 1.77 inches,,,,,,,,,,,,,,,,,
1574,,1 Lithium Metal batteries required. (included),HP,,AMD,Silver,DDR3 SDRAM,128 GB,AMD Radeon Vega 3,128 GB flash_memory_solid_state,Solid State,13.75 x 8.89 x 0.78 inches,3.23 pounds,HP 14,1366 x 768,2400 MHz,,,Windows 10 S,,AC & Battery,2.6 GHz amd_r_series,AMD,2,13.75 x 8.89 x 0.78 inches,8 GB DDR3,HP,14 Inches,802.11bgn,$484.10,4.5,,PC,1366 x 768,,,,,,,,,,,,,,,,,,,,,,
1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$869.00,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
1576,15 Hours,,HP,Integrated,MediaTek,Blue,DDR4 SDRAM,64 GB,MediaTek,64 GB SSD,Solid State,11.22 x 7.59 x 0.66 inches,3.83 pounds,Chromebook,1366 x 768 Pixels,,,,Windows 10 S,,Battery Powered,2 GHz mediatek_mt8183,Mediatek,8,11.22 x 7.59 x 0.66 inches,4 GB LPDDR4,,11.6 Inches,"Bluetooth, 802.11a",,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
1577,6 Hours,,Lenovo,,Intel,Dark Orchid,DDR4 SDRAM,128 GB,Intel HD Graphics 610,128 GB SSD,Serial ATA,14.3 x 9.9 x 0.8 inches,4.09 pounds,Lenovo IdeaPad S145 Celeron 4205U,1366x768 Pixels,2133 MHz,,,Windows 10 Home,,AC & Battery,1.8 GHz celeron_n,Intel,2,14.3 x 9.9 x 0.8 inches,4 GB SDRAM,Lenovo IdeaPad S145 Celeron 4205U,15.6 Inches,802.11a,$459.00,4.3,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
1578,,,Dell,Integrated,Intel,,DDR4 SDRAM,,Intel HD Graphics 620,128 GB SSD,USB,,5.5 pounds,3310,1366 x 768,3.9 GHz,2,1,Windows 10 Pro,,Battery Powered,2.1 GHz core_i3,Intel,1,,4 GB DDR4,Dell Latitude,13.3 Inches,Bluetooth,$369.99,4.0,,,1366 x 768,,,,,17.72 x 17.09 x 3.07 inches,,,,,,,,,,,,,,,,,
1579,10 Hours,1 Lithium Metal batteries required.,Lenovo,Integrated,MediaTek,Blizzard White,DDR3 SDRAM,32,GX6250,32 GB ssd,Serial ATA,11.5 x 8.48 x 0.77 inches,11.6 ounces,81HY0001US,,,,1,Chrome OS,No Optical Drive,"Corded Electric, Battery Powered",2.1 GHz none,Mediatek,4,11.5 x 8.48 x 0.77 inches,4 GB LPDDR3,Lenovo,11.6 Inches,802.11ac,$287.00,4.4,0.01 RPM,PC,,0.01 GB,,,,,,,,,,,,,,,,,,,,,
1580,10 Hours,1 Lithium ion batteries required.,Acer,,Intel,Intel Celeron N4020,DDR4 SDRAM,32 GB,Intel UHD Graphics,32 GB emmc,Solid State,11.7 x 8.1 x 0.79 inches,2.65 pounds,Acer,1366 x 768 Pixels,2.8 GHz,,,Chrome OS,,Battery Powered,2.6 GHz celeron,Intel,2,11.7 x 8.1 x 0.79 inches,4 GB SDRAM,Acer,11.6 Inches,Bluetooth,,4.4,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
1581,,,ASUS,Integrated,Intel,,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,64 GB eMMC,Solid State,,3.59 pounds,ASUSL510-DB02,1920 x 1080 Pixels,2.8 GHz,,,Windows 10 S,,Corded Electric,1.1 GHz celeron_n4020,Intel,2,,4 GB DDR4,ASUS VivoBook,15.6 Inches,Bluetooth,,4.4,,PC,,,,,,18.19 x 11.38 x 2.6 inches,,,,,,,,,,,,,,,,,
1582,,1 Lithium ion batteries required. (included),Computer Upgrade King,Dedicated,NVIDIA,,DDR4 SDRAM,,NVIDIA GeForce RTX 3080,2000 GB flash_memory_solid_state,Solid State,15.71 x 12.56 x 1.73 inches,8.39 pounds,,1920 x 1080,2933 MHz,,,Windows 10 Pro,,,3.5 GHz core_i9,Intel,8,15.71 x 12.56 x 1.73 inches,64 GB DDR4,,17.3 Inches,Bluetooth,"$3,749.99",4.0,,PC,1920 x 1080,16.00,,,,,,,,,,,,,,,,,,,,,
1583,5 Hours,,HP,Integrated,Intel,Pale Gold,DDR4 SDRAM,256 GB,Intel UHD Graphics,256 GB SSD,ATA,16.33 x 10.72 x 0.96 inches,5.42 pounds,HP 17,1600 x 900 Pixels,2666 MHz,1,2,Windows 10 Home,,AC & Battery,1 GHz core_i5_1035g1,Intel,4,16.33 x 10.72 x 0.96 inches,8 GB DDR4,Hp 17,17.3 Inches,802.11ac,$849.00,4.2,,PC,1600x900,,,,720 Pixels,,,,,,,,,,,,,,,,,,
1584,,,QOMO,Integrated,Intel,,,,,SSD,USB,,3 pounds,QPC22,,,,,,,,none,,1,,,QPC22,1 Centimeters,,$123.92,Pre,,,,,,,,15 x 6.2 x 3 inches,,,,,,,,,,,,,,,,,
1585,9 Hours,1 Lithium ion batteries required. (included),Basrdis,Integrated,Intel,Platinum Grey,DDR4 SDRAM,,Intel,512 GB SSD,Solid State,12.99 x 9.49 x 0.78 inches,3.3 pounds,Ideapad 3,1920 x 1080 Pixels,,,,Windows 10 Home,,AC & Battery,3.6 GHz core_i5,Intel,4,12.99 x 9.49 x 0.78 inches,8 GB DIMM,Ideapad 3,14 Inches,Bluetooth,,4.1,,PC,,,,,,,,,,,,,,,,,,,,,,,
1586,45 Watt Hours,1 Lithium ion batteries required. (included),Dell,Integrated,Intel,Gray,DDR3 SDRAM,4,Intel UHD Graphics 620,128 GB Flash Memory Solid State,Solid State,8.05 x 12.11 x 0.59 inches,2.58 pounds,3301,1366 x 768 Pixels,2133 MHz,,,Windows 10 Pro,No Optical Drive,"Corded Electric, Battery Powered",2.1 GHz core_i3_family,Intel,1,8.05 x 12.11 x 0.59 inches,4 GB DDR4,3301,13.3 Inches,,$395.00,4.2,0.01 RPM,PC,,,,,,,,,,,,,,,,,,,,,,,
1587,"9.0, 7.0 Hours",1 Lithium Polymer batteries required. (included),HP,Integrated,AMD,Natural Silver,DDR4 SDRAM,256 GB,AMD,256 GB SSD,Solid State,15.04 x 9.84 x 0.94 inches,5.04 pounds,15-ef1040nr,1366 x 768 Pixels,2400 MHz,,,Windows 10 S,,Battery Powered,2.4 GHz athlon,AMD,2,15.04 x 9.84 x 0.94 inches,4 GB DDR4,HP 15 inch Premium Laptop,15.6 Inches,802.11ac,$424.95,4.7,,PC,1366x768,,,,8 MP,,,,,,,,,,,,,,,,,,
1588,,1 Lithium ion batteries required. (included),Lenovo,Dedicated,,Phantom Black,DDR4 SDRAM,,GeForce RTX 2060 6GB GDDR6,1024 GB SSD,Solid State,18 x 14.29 x 6 inches,5.42 pounds,Lenovo Legion 5,1920 x 1080 Pixels,,,,Windows 10 Home,,Battery Powered,4.2 GHz ryzen_7_4800h,AMD,8,18 x 14.29 x 6 inches,16 GB,Lenovo Legion 5,15.6 Inches,Bluetooth,,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
1589,,,Evoo,Dedicated,NVIDIA,,DDR4 SDRAM,,NVIDIA GeForce GTX 1650,512 GB PCIe SSD,PCIE x 4,20 x 9.58 x 0.9 inches,4.4 pounds,15,1920x1080,2666 MHz,1,2,Windows 10,No Optical Drive,,2.5 GHz core_i5,Intel,4,20 x 9.58 x 0.9 inches,16 GB DDR4,Gaming,15.6 Inches,Bluetooth,$889.00,5.0,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
1590,,1 Lithium ion batteries required.,HP,Integrated,Intel,,DDR4 SDRAM,64 GB,Integrated Intel UHD Graphics,64 GB SSD,Solid State,12.82 x 8.6 x 0.7 inches,5.01 pounds,HP 14 laptop,1920 x 1080 Pixels,2666 MHz,,,Chrome OS,,,2.1 GHz apple_ci3,Intel,2,12.82 x 8.6 x 0.7 inches,8 GB,,14 Inches,802.11a/b/g/n/ac,,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
1591,9 Hours,1 9V batteries required. (included),HP,Integrated,Intel,Silver,Unknown,256 GB,Intel UHD Graphics 620,flash_memory_solid_state,Solid State,,4.4 pounds,ELITEBOOK X360 1030-G3,,3.6 GHz,,,Windows 10 Pro,,,3.6 GHz,Intel,1,,,ELITEBOOK X360 1030-G3,13.3 Inches,,,1.5,,Windows,,,,,2 MP,20.8 x 12.2 x 2.7 inches,,,,,,,,,,,,,,,,,
1592,,1 Lithium Polymer batteries required. (included),DaySky,,Intel,Silver,DDR4 SDRAM,,Intel UHD Graphics,256 GB SSD,USB 3.0,,2.6 pounds,MBook M11,1920 x 1080 Pixels,2.8 GHz,1,2,Windows 10,,AC & Battery,2 GHz celeron_n,Intel,4,,12 GB DDR4,,15.6 Inches,"Bluetooth, 802.11a",,5.0,,PC,,,7.4 Volts,,,15.75 x 14.37 x 3.15 inches,,,,,,,,,,,,,,,,,
1593,11 Hours,1 Lithium Metal batteries required. (included),Vgsion,Integrated,Intel,Silver,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,64 GB Hybrid,Unknown,12.82 x 8.6 x 0.7 inches,3.21 pounds,14a-na,1920 x 1080 Pixels,2.8 GHz,,,Chrome OS,,Battery Powered,1.1 GHz celeron_n,Intel,2,12.82 x 8.6 x 0.7 inches,4 GB LPDDR4,14a-na,14 Inches,Bluetooth,$339.00,4.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
1594,14 Hours,1 Lithium Polymer batteries required. (included),Acer,Integrated,Intel,,DDR3 SDRAM,16,Intel HD Graphics 400,16 GB Embedded MultiMediaCard,ESATA,13.43 x 9.31 x 0.67 inches,3.4 pounds,CB3-431-C99D,1366 x 768 Pixels,2.48 GHz,,2,Chrome OS,No Optical Drive,Battery Powered,2.48 GHz celeron,Intel,2,13.43 x 9.31 x 0.67 inches,4 GB LPDDR3,CB3-431-C99D,14 Inches,802.11g,$329.99,4.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,
1595,,1 Lithium ion batteries required.,HP,Integrated,MediaTek,Gray,DDR2 SDRAM,32 GB,MediaTek Integrated Graphics,32 GB SSD,Solid State,11.2 x 8.3 x 0.7 inches,3.1 pounds,11a-na00,1366 x 768 Pixels,,1,,Chrome OS,,AC & Battery,2 GHz mediatek_mt8183,Mediatek,8,11.2 x 8.3 x 0.7 inches,4 GB DDR,HP,11.6 Inches,802.11ac,$198.00,4.4,,PC,1366 x 768,,,,,,,,,,,,,,,,,,,,,,
1596,,,HP,,,,DDR DRAM,1 TB,Intel Iris Xe Graphics,1 TB SSD,Solid State,,5 pounds,13-ba1085cl,1920 x 1080 Pixels,3200 MHz,,,,,,2.8 GHz core_i7,Intel,4,,16 GB DDR4,HP Envy,13.3 Inches,,"$1,170.00",5.0,,PC,,,,,,15 x 12 x 3 inches,,,,,,,,,,,,,,,,,
1597,,1 Lithium ion batteries required. (included),Lenovo,Integrated,Intel,,DDR4 SDRAM,512,,512 GB flash_memory_solid_state,Solid State,8.5 x 12.1 x 0.69 inches,3.1 pounds,20TG004SUS,1920 x 1080,1.8 GHz,,3,Windows 10 Pro,No Optical Drive,,1.8 GHz core_i7,Intel,1,8.5 x 12.1 x 0.69 inches,16 GB DDR4,Lenovo ThinkBook Plus,13.3 Inches,Bluetooth,$999.59,4.3,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,
1598,,,Dell,,,,,,,,,,2.99 pounds,CF4P1,,,,,,,,core_i5,Intel,,,,Dell Latitude,14 Inches,,"$1,836.15",3.9,,,,,,,,15.16 x 12.72 x 1.42 inches,,,,,,,,,,,,,,,,,
1599,6 Hours,1 Lithium ion batteries required. (included),ASUS,Dedicated,NVIDIA,Black,DDR4 SDRAM,128,NVIDIA GeForce GTX 1050 Ti,1000 GB Hybrid Drive,Serial ATA,15.12 x 10.31 x 0.94 inches,5.73 pounds,GL503GE-ES73,1920 x 1080 Pixels,2666 MHz,1,4,Windows 10 Home,No Optical Drive,Battery Powered,2.2 GHz apple_ci7,Intel,6,15.12 x 10.31 x 0.94 inches,16 GB DDR4,GL503GE-ES73,15.6 Inches,"Bluetooth, 802.11a/b/g/n/ac",,4.1,5400 RPM,PC,,4 GB,,,,,,,,,,,,,,,,,,,,,
1600,,1 Lithium Polymer batteries required. (included),VGKE,Integrated,Intel,Black,DDR3 SDRAM,6 GB,505,128 GB SSD,USB 3.0,12.59 x 0.78 x 8.26 inches,2.42 pounds,B14-s,1920*1080 Pixels,,,2,Windows 10,,,1.6 GHz,Intel,1,12.59 x 0.78 x 8.26 inches,6 GB LPDDR3,B14,14.1 Feet,,,Pre,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
1601,7 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,Intel,Blue,DDR4 SDRAM,128 GB,Intel UHD Graphics 620,128 GB SSD,Solid State,9.57 x 14.13 x 0.43 inches,4.12 pounds,330S-15IKB - 81F5018EUS,1366x768,,,,Windows 10,,Battery Powered,2.2 GHz core_i3_8130u,Intel,2,9.57 x 14.13 x 0.43 inches,4 GB SDRAM,81F5018EUS,15.6 Inches,802.11ac,$408.20,4.5,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
1602,,1 Lithium ion batteries required. (included),Computer Upgrade King,Dedicated,NVIDIA,,DDR4 SDRAM,,NVIDIA GeForce RTX 3050 Ti,2000 GB flash_memory_solid_state,Solid State,14.13 x 10.2 x 0.94 inches,4.63 pounds,,1920 x 1080,2666 MHz,,,Windows 10 Home,,,2.4 GHz core_i7,Intel,8,14.13 x 10.2 x 0.94 inches,64 GB DDR4,,15.6 Inches,802.11ax,"$1,759.99",4.7,,PC,1920 x 1080,4.00,,,,,,,,,,,,,,,,,,,,,
1603,,,Lenovo,,AMD,Sand,DDR4 SDRAM,256 GB,AMD Radeon 7 Graphics,256 GB SSD,Solid State,14.14 x 9.31 x 0.78 inches,5.53 pounds,Lenovo IdeaPad,1920 x 1080 Pixels,3200 MHz,1,2,Windows 10,,AC & Battery,2.1 GHz amd_a_series,AMD,6,14.14 x 9.31 x 0.78 inches,8 GB DDR3,Lenovo 15.6,15.6 Inches,"Bluetooth, 802.11a/b/g/n/ac",$599.99,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
1604,10 Hours,1 Lithium Polymer batteries required. (included),ASUS,Integrated,Intel,Grey,DDR4 SDRAM,32 GB,Intel UHD 500,32 GB SSD,Solid State,11.3 x 7.8 x 0.7 inches,2.2 pounds,CX22NA-211.BB01,1366 x 768 Pixels,,,,Chrome OS,,Battery Powered,1.1 GHz celeron_n3350,Intel,2,11.3 x 7.8 x 0.7 inches,4 GB SDRAM,ASUS Chromebook CX22N,11.6 Inches,802.11ac,$183.90,4.3,,PC,1366x768,,,,5 MP,,,,,,,,,,,,,,,,,,
1605,,,Dell,Integrated,Intel,,DDR4 SDRAM,128 GB,Intel HD Graphics 620,128 GB ssd,Solid State,,5.04 pounds,Dell XPS 13 7390,1920 x 1080 MP,3.6 GHz,,,Intel HD Graphics 620,,,3.6 GHz core_i5,Intel,4,,8 GB SDRAM,Dell XPS 13 7390,13 Inches,Bluetooth,$879.99,4.4,,PC,,,,,,15.83 x 11.54 x 3.23 inches,,,,,,,,,,,,,,,,,
1606,9 Hours,100 Lithium ion batteries required. (included),MSI,Dedicated,NVIDIA,,Unknown,256 GB,NVIDIA GeForce GTX 1070,,Unknown,14.08 x 9.75 x 0.69 inches,4.14 pounds,P65 Creator 8RF-442,1920x1080,2666 MHz,,,Windows 10 Pro,,Battery Powered,8032,Intel,6,14.08 x 9.75 x 0.69 inches,16 GB DDR4,P65 Creator 8RF-442,15.6 Inches,802.11g,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
1607,8 Hours,,AWOW,Integrated,Intel,,DDR SDRAM,512 GB,Intel,512 GB SSD,Solid State,,4.99 pounds,VT13,1920 x 1080 Pixels,2.6 GHz,,,Windows 10 Pro,,Battery Powered,2.6 hertz pentium_j4205,Intel,4,,6 GB LPDDR4,,13.3 Inches,Bluetooth,,5.0,,PC,,,12 Volts,,,14.25 x 12.32 x 2.4 inches,,,,,,,,,,,,,,,,,
1608,,,Lenovo,Integrated,Intel,,DDR4 SDRAM,,AMD Radeon Graphics,128 GB SSD,PCIE x 4,14.1 x 9.6 x 0.7 inches,3.96 pounds,IdeaPad 3,1366 x 768,3.5 GHz,,3,Windows 10,No Optical Drive,Battery Powered,1 GHz ryzen_3,AMD,2,14.1 x 9.6 x 0.7 inches,8 GB DDR4,Ideapad,15.6 Inches,802.11ac,,4.1,,PC,1366 x 768 pixels,,,,,,,,,,,,,,,,,,,,,,
1609,8 Hours,1 Lithium Metal batteries required. (included),HP,Integrated,Intel,,DDR DRAM,256 GB,Intel,256 GB SSD,Solid State,,4.96 pounds,15-dw301,1366 x 768 Pixels,4.1 GHz,,,Windows 10 Home,,Battery Powered,4.1 GHz apple_ci3,Intel,2,,8 GB DDR4,Dell Precision,15.6 Inches,Bluetooth,$549.99,3.0,,PC,,,,,,19.02 x 12.17 x 2.6 inches,,,,,,,,,,,,,,,,,
1610,,,Dell,,Intel,Black,DDR4 SDRAM,,Intel UHD Graphics,128 GB SSD,PCIE x 4,14.33 x 9.8 x 0.78 inches,4.04 pounds,3501,1920 x 1080 Pixels,4.1 GHz,,,Windows 10,,Battery Powered,3 GHz core_i3,Intel,2,14.33 x 9.8 x 0.78 inches,8 GB DDR4,Dell Inspiron,15.6 Inches,Bluetooth,$539.00,3.3,,PC,,,,,,,,,,,,,,,,,,,,,,,
1611,5 Hours,1 Lithium ion batteries required. (included),Samsung Electronics,Integrated,Intel,Platinum Titan,DDR4 SDRAM,,Intel UHD Graphics 600,32 GB Embedded MultiMediaCard,Solid State,11.33 x 7.96 x 0.66 inches,2.6 pounds,XE310XBA-KC1US,1366 x 768 Pixels,2133 GHz,,2,Chrome OS,No Optical Drive,Battery Powered,1.1 GHz celeron_n3450,Intel,1,11.33 x 7.96 x 0.66 inches,4 GB DDR4,Chromebook 4,11.6 Inches,801.11ac,$164.99,4.3,,PC,1366 x 768,4 GB,,XE310XBA-KC1US,,,,,,,,,,,,,,,,,,,
1612,,2 C batteries required.,HP,Integrated,Intel,,SDRAM,32 GB,Intel HD Graphics 400,emmc,,13.6 x 9.51 x 0.94 inches,3.8 pounds,HP-Stream-14-4GB-32GB,,1.6 GHz,,,Windows 10 Home,,,celeron,Intel,2,13.6 x 9.51 x 0.94 inches,4 GB DDR3,HP Stream,14 Inches,802.11ac,,3.6,,Windows,,,,,,,,,,,,,,,,,,,,,,,
1613,,1 Lithium ion batteries required. (included),Acer,Integrated,Intel,Silver,DDR4 SDRAM,,Intel,4 GB SSD,Solid State,14.31 x 9.39 x 0.7 inches,4.19 pounds,Acer Aspire 5,1920 x 1080 Pixels,4.1 GHz,,,Windows 10 Home,,Battery Powered,4.1 GHz core_i3,Intel,2,14.31 x 9.39 x 0.7 inches,8 GB DDR4,Acer Aspire,15.6 Inches,,$509.99,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
1614,,1 Lithium Polymer batteries required.,Lenovo,Dedicated,AMD,,DDR SDRAM,1,AMD Radeon R4,500 GB mechanical_hard_drive,Serial ATA,14.3 x 9.9 x 0.8 inches,4.1 pounds,S145,1366 x 768,,1,1,Windows 10,DVD+RW,Battery Powered,2.6 GHz amd_a6,AMD,2,14.3 x 9.9 x 0.8 inches,4 GB SDRAM,81N3005LUS,15.6 Inches,802.11ac,$449.99,3.7,1 RPM,PC,1366x768,1 GB,,,,,,,,,,,,,,,,,,,,,
1615,"8.0, 6.0, 4.0 Hours",,XINYANGCH,,,Silver 8G+128G,DDR3 SDRAM,256 GB,1920*1080,256 GB SSD,ATA,,3.96 pounds,N15C,1920*1080 Pixels,2.3 GHz,,,Windows 10,,Battery Powered,2 GHz celeron_j3455,Intel,4,,8 GB DDR3,NB15A,15 Inches,Bluetooth,,3.5,,PC,,,"240 Volts, 12 Volts",,,19 x 11.5 x 2.5 inches,,,,,,,,,,,,,,,,,
1616,,,HP,Integrated,,,DDR SDRAM,,Intel,128 GB SSD,Solid State,12.8 x 8.6 x 0.7 inches,4.21 pounds,HP Chromebook,1366 x 768 Pixels,,,,Chrome OS,,,2.2 GHz celeron,Intel,2,12.8 x 8.6 x 0.7 inches,,HP Chromebook,14 Inches,,,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
1617,,1 Lithium ion batteries required. (included),MSI,Dedicated,NVIDIA,,DDR4 SDRAM,32,Nvidia RTX 2080 Super,512 GB,Solid State,9.65 x 14.17 x 0.71 inches,4.63 pounds,GS66 Stealth 10SGS-441,1920 x 1080,2.3 GHz,,,Win 10 Pro,,,2.3 GHz core_i7,Intel,8,9.65 x 14.17 x 0.71 inches,32 GB DDR4,,15.6 Inches,,,3.5,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,
1618,,,Dell,,Intel,,DDR SDRAM,256 GB,Integrated Intel UHD Graphics 610,256 GB SSD,Solid State,11 x 19 x 3 inches,4.83 pounds,Dell 15 laptop,HD ( 1366 x 768 ),1.8 GHz,1,,Windows 10,,AC & Battery,1.8 GHz celeron,Intel,2,11 x 19 x 3 inches,8 GB DDR4,Dell Inspiron 15 3000,15.6 Inches,Bluetooth,$486.00,4.6,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
1619,,,N\W,Integrated,Intel,,DDR3 SDRAM,16 GB,Intel HD Graphics 400,16 KB SSD,ATA,,4.56 pounds,N42,1366 x 768 Pixels,,,,Chrome OS,,,1.6 GHz celeron_n3060,Intel,2,,16 GB LPDDR3,,14 Inches,Bluetooth,,3.7,,PC,,,,,,15.12 x 11.93 x 2.6 inches,,,,,,,,,,,,,,,,,
1620,,,HP,,AMD,,DDR4 SDRAM,,AMD Radeon RX Vega 8,256 GB SSD,Solid State,14.12 x 9.54 x 0.72 inches,4.18 pounds,15ef27w,1920 x 1080 Pixels,2400 MHz,,,Windows 10,,AC & Battery,1.2 GHz ryzen_5,AMD,4,14.12 x 9.54 x 0.72 inches,8 GB SDRAM,,15.6 Inches,,,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
1621,,1 Lithium ion batteries required.,Lenovo,,,,DDR DRAM,512 GB,,,,14.4 x 9.8 x 0.75 inches,0.035 ounces,20T4002KUS,,,,,Windows 10 Pro,,,,,1,14.4 x 9.8 x 0.75 inches,,ThinkPad P15s,15.6 Inches,,"$1,815.35",Pre,,,,,,,,,,,,,,,,,,,,,,,,,
1622,,,Dell,,Intel,,DDR4 SDRAM,,,SSD,USB 3.2,8.9 x 12.9 x 0.72 inches,3.5 pounds,3410,1366 x 768,4.1 GHz,2,1,Windows 10 Pro,,Battery Powered,2.1 GHz core_i3,Intel,1,8.9 x 12.9 x 0.72 inches,4 GB DDR4,PP60Y,14 Inches,Bluetooth,$565.00,3.9,,,1366 x 768,,230 Volts,,,,,,,,,,,,,,,,,,,,
1623,12 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,AMD,Graphite Grey,DDR4 SDRAM,512 GB,AMD Radeon Graphics,256 GB ssd,Solid State,12.66 x 8.56 x 0.82 inches,3.31 pounds,Flex 5,1920 x 1080 Pixels,,,,Windows 10 Home,,Battery Powered,4 GHz ryzen_5,AMD,6,12.66 x 8.56 x 0.82 inches,16 GB,Lenovo Ideapad,14 Inches,Bluetooth,,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
